bodyparts,beak,beak,beak,tail,tail,tail,left_wing,left_wing,left_wing,right_wing,right_wing,right_wing,head,head,head,back,back,back
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
48,925.8379,311.28906,0.4440918,1000.71875,301.7334,0.3852539,962.1836,317.01562,0.90283203,946.22363,278.6211,0.6098633,947.0073,288.97656,0.71875,960.36523,295.5547,0.64501953
49,925.70215,311.06445,0.42407227,1000.3633,301.7334,0.32958984,961.97266,317.01562,0.9033203,946.29297,278.6211,0.6123047,946.6299,288.88867,0.70654297,960.2207,295.4453,0.6376953
50,922.8301,298.11328,0.40576172,999.4297,301.96777,0.3581543,959.5742,316.96094,0.87939453,950.7031,278.13672,0.6201172,936.16406,288.31055,0.57470703,958.46094,295.1289,0.64501953
51,919.03125,291.61328,0.64941406,999.0488,302.06836,0.36157227,959.09375,316.96094,0.9091797,952.1367,278.625,0.59375,934.77734,286.02734,0.71533203,957.6289,295.1289,0.64453125
52,916.584,288.4453,0.7841797,998.90234,302.19336,0.4206543,957.77637,315.71484,0.9057617,952.7285,279.39258,0.5913086,931.37256,281.09375,0.85839844,956.1416,293.6953,0.69921875
53,915.124,286.36328,0.7963867,996.95557,302.76562,0.38720703,957.38965,314.89844,0.8330078,953.2168,279.98047,0.55078125,930.0488,279.7539,0.93310547,955.8976,293.69336,0.67822266
54,914.72754,285.81836,0.7861328,996.84766,303.9297,0.4736328,948.32446,313.29688,0.8286133,953.27734,279.98047,0.5410156,929.5137,279.22852,0.9448242,955.27,293.69043,0.67578125
55,914.72754,285.81836,0.77978516,996.7964,304.77148,0.51416016,948.22754,313.29688,0.8388672,953.27734,279.98047,0.55859375,929.5137,279.22852,0.94140625,954.90234,293.48633,0.68115234
56,914.72754,285.81836,0.7763672,996.84766,305.13672,0.49902344,948.22754,313.29688,0.8408203,953.2168,279.96875,0.5654297,929.5137,279.22852,0.9370117,954.90234,293.48633,0.68408203
57,914.8506,285.88184,0.77197266,996.95557,305.62305,0.5097656,948.22754,313.39844,0.85058594,952.94727,279.89062,0.57177734,929.6172,279.27734,0.9238281,954.75,293.46387,0.6879883
58,914.9531,286.02148,0.76953125,996.9668,305.80078,0.4987793,948.2744,313.71875,0.8598633,952.94727,279.71875,0.57910156,929.6172,279.41602,0.90722656,954.75,293.46387,0.69140625
59,914.9531,286.19922,0.7817383,996.9668,306.15723,0.53515625,948.2744,313.8672,0.8754883,952.94727,279.58984,0.5942383,929.62695,279.57617,0.9121094,954.66504,293.37695,0.6982422
60,914.9531,286.36133,0.79052734,996.9668,306.47363,0.52246094,948.2744,313.8672,0.87939453,952.88086,279.5039,0.60839844,929.62695,279.63867,0.9145508,954.5654,293.37695,0.7050781
61,914.9404,286.36133,0.79785156,996.90967,307.12158,0.52197266,948.26294,313.8672,0.87841797,952.83594,279.48828,0.6113281,929.62695,279.64453,0.9238281,954.47363,293.3672,0.7128906
62,914.9404,286.36133,0.7993164,996.88086,307.24707,0.52001953,948.02734,313.84766,0.8725586,952.83594,279.48828,0.60595703,929.62695,279.64648,0.9223633,954.28613,293.35938,0.7109375
63,914.9404,286.28906,0.7988281,996.73926,307.29395,0.5161133,947.9541,313.71875,0.8720703,952.83594,279.5039,0.6064453,929.7246,279.64648,0.9248047,954.28613,293.3584,0.7133789
64,915.00635,286.2871,0.79296875,996.3789,307.32715,0.50097656,947.80115,313.53906,0.8647461,952.81055,279.51953,0.60302734,929.78516,279.64648,0.9199219,954.28613,293.3584,0.70996094
65,915.0083,286.2871,0.79785156,996.2783,307.29395,0.5004883,947.77734,313.51172,0.86035156,952.81055,279.51953,0.6040039,929.81836,279.64648,0.9243164,954.28613,293.3584,0.70947266
66,915.03955,286.28906,0.7944336,996.0663,307.24707,0.49267578,947.7616,313.4922,0.8613281,952.72656,279.51953,0.60058594,929.9121,279.64648,0.91552734,954.2881,293.38184,0.7080078
67,915.04736,286.4004,0.7973633,995.9189,307.29395,0.49658203,947.7616,313.4922,0.8647461,952.64844,279.42578,0.6020508,929.9258,279.66797,0.9135742,954.2969,293.40918,0.7080078
68,915.12354,286.4043,0.7963867,995.9189,307.3247,0.48657227,947.77734,313.51172,0.86083984,952.5332,279.42188,0.60009766,930.0078,279.74023,0.9057617,954.2969,293.42676,0.70410156
69,915.19434,286.41016,0.79296875,995.9189,307.3247,0.4909668,947.77734,313.6289,0.8647461,951.72266,278.21875,0.6020508,930.17773,279.7832,0.9086914,954.2969,293.40918,0.7055664
70,915.19434,286.41016,0.7871094,995.9392,307.45312,0.49658203,947.7627,313.82812,0.87646484,951.5449,278.1875,0.60302734,930.17773,279.79688,0.89941406,954.32715,293.40918,0.71240234
71,915.19434,286.4043,0.7861328,995.9827,307.68262,0.52197266,947.7627,314.0039,0.8803711,950.83203,277.9414,0.62353516,930.17773,280.08203,0.88720703,955.35156,292.79248,0.7324219
72,915.11816,286.3203,0.78759766,996.01117,307.84167,0.5415039,947.333,314.10156,0.90283203,950.6992,277.9414,0.6357422,930.0596,280.10938,0.87890625,955.35156,292.79248,0.7680664
73,915.0454,286.2793,0.7949219,996.01117,308.3069,0.56884766,947.0083,314.10938,0.8984375,950.6953,277.9414,0.63671875,930.0039,280.17578,0.8852539,955.35156,292.79248,0.7753906
74,914.9092,286.27734,0.7998047,995.9392,309.0088,0.5751953,946.6406,314.14453,0.8881836,950.5508,277.96484,0.63671875,929.7578,280.17578,0.88916016,955.1406,293.02246,0.7753906
75,914.7295,286.26562,0.8051758,995.7041,309.9463,0.6147461,946.1846,314.17578,0.8833008,950.51953,278.0586,0.63916016,929.5762,280.1836,0.9008789,954.9375,293.18262,0.7792969
76,914.7295,286.27734,0.80810547,995.6001,310.4961,0.6166992,946.0996,314.3164,0.8779297,950.24414,278.0586,0.6503906,929.54297,280.1953,0.89160156,954.4883,293.19043,0.81396484
77,914.7295,286.2539,0.80566406,995.0791,312.625,0.6933594,946.0469,314.9336,0.8652344,950.18164,278.0586,0.6411133,929.54297,280.1953,0.89501953,954.45703,293.38965,0.8334961
78,914.8613,286.20898,0.8051758,994.2246,314.28027,0.7519531,945.0879,314.9336,0.8823242,949.69434,278.0078,0.64160156,929.54297,280.20703,0.88134766,953.8281,293.46387,0.8828125
79,914.8613,286.2539,0.80322266,994.05176,314.8711,0.7192383,944.5547,315.03516,0.85253906,949.626,277.9961,0.6489258,929.6719,280.21094,0.8808594,953.41406,293.78613,0.9194336
80,914.876,286.33594,0.7871094,993.58594,314.9287,0.5830078,944.5254,315.03516,0.8666992,949.1953,277.98828,0.6582031,929.70703,280.26172,0.8457031,952.91797,293.79004,0.9477539
81,914.9238,286.62695,0.79345703,992.7832,316.11688,0.61865234,939.802,313.60938,0.86376953,948.46216,277.9961,0.6738281,929.71875,280.5039,0.81640625,952.4531,294.44727,0.9633789
82,914.9238,288.65234,0.7709961,992.25,317.2793,0.63378906,939.0259,313.60938,0.87597656,947.23584,277.9961,0.6875,930.33105,280.8789,0.7636719,949.2119,296.04688,0.98828125
83,915.105,290.97266,0.6958008,991.4844,318.3164,0.5498047,938.9365,316.15625,0.8413086,946.77734,278.29297,0.6933594,931.8329,284.96143,0.7348633,948.62305,297.7246,1
84,915.3701,293.46094,0.6640625,991.35156,318.73438,0.5800781,938.709,316.95312,0.8725586,944.6719,278.5,0.73779297,931.8329,287.42188,0.79248047,948.1742,298.58398,1
85,915.52954,293.53125,0.58740234,990.9121,318.98828,0.5913086,938.5596,317.21094,0.8823242,943.1719,278.55078,0.734375,931.8329,287.67188,0.7504883,947.9367,298.77832,1
86,915.52954,293.6953,0.5336914,990.60156,319.04297,0.5957031,938.709,318.14062,0.85791016,943.02734,279.34766,0.6953125,929.87305,288.2168,0.7631836,947.3164,299.66357,1
87,915.52954,313.46094,0.5239258,989.63574,319.04297,0.6191406,938.9365,318.6328,0.7963867,942.1914,279.5664,0.69433594,928.44727,288.45312,0.76708984,946.5498,299.89844,0.9926758
88,991.2031,314.29688,0.5073242,987.9879,319.04297,0.56591797,938.709,322.53906,0.76464844,940.1719,279.9414,0.6875,927.16797,289.01758,0.71240234,946.2715,300.21484,0.92089844
89,991.2031,314.34277,0.4423828,986.4785,318.83594,0.61328125,938.1992,322.53906,0.77978516,940.00995,280.29297,0.67333984,926.1328,290.35156,0.7270508,944.81445,300.4336,0.88916016
90,988.83594,314.29688,0.36645508,985.1582,318.6289,0.5883789,936.8594,322.53906,0.80029297,933.75195,280.43164,0.7290039,925.10156,291.46777,0.68847656,943.7578,300.40625,0.82958984
91,987.74146,313.46094,0.40576172,983.7031,318.17188,0.5102539,935.69727,322.76953,0.91064453,930.2002,280.79492,0.79052734,925.08984,291.64478,0.6484375,941.1621,300.40625,0.87060547
92,987.74146,313.23438,0.41992188,983.5449,317.17773,0.46777344,935.4199,322.76953,0.95703125,928.8574,281.81836,0.7558594,924.9492,293.64453,0.6152344,940.4426,300.4336,0.8808594
93,983.41016,312.45703,0.35620117,980.66797,315.70947,0.48242188,935.2539,323.14844,0.96191406,927.8047,281.95508,0.7421875,923.78906,294.14453,0.6503906,938.7412,300.78906,0.8574219
94,982.55273,311.95312,0.35546875,979.6719,312.27734,0.45214844,934.8613,323.14844,0.96191406,926.9219,282.0713,0.7241211,922.9375,294.17188,0.65283203,937.6289,302.5371,0.83496094
95,981.1738,310.5957,0.37158203,979.395,310.16797,0.40014648,934.49023,323.14844,0.9350586,925.77344,282.3086,0.68652344,922.9375,294.33203,0.64208984,937.53516,302.66406,0.8046875
96,979.74927,307.26123,0.42944336,976.71875,307.6714,0.36572266,934.3125,322.8789,0.91308594,925.77344,282.87402,0.6269531,921.53906,294.33203,0.64697266,936.8711,303.04688,0.76123047
97,901.9922,305.09766,0.43530273,975.6172,305.79688,0.3947754,933.94824,322.65625,0.8823242,925.77344,283.28564,0.6455078,921.1172,294.33203,0.5834961,935.49023,303.1289,0.7807617
98,898.3008,300.10272,0.67822266,974.5039,304.23828,0.390625,930.91113,322.22266,0.77783203,926.58203,283.3286,0.6381836,915.0161,292.26196,0.70410156,933.9922,303.1289,0.77783203
99,896.3828,299.4453,0.6557617,973.2051,304.23828,0.37670898,930.5762,321.68164,0.8178711,926.58203,283.33838,0.58154297,913.4414,292.0689,0.6928711,932.87256,303.1289,0.81347656
100,892.77246,298.66797,0.6538086,972.1987,304.23828,0.3647461,930.25684,321.68164,0.83203125,926.58203,283.66406,0.5756836,913.03906,289.48633,0.7324219,931.647,303.04688,0.81152344
101,889.84766,298.07422,0.67871094,972.15344,304.35352,0.3659668,929.8008,321.68164,0.85058594,925.6992,283.6726,0.55810547,909.5537,288.64062,0.79589844,930.5127,303.0332,0.83496094
102,888.7578,297.76172,0.6801758,971.89026,305.30664,0.39086914,929.56836,322.16406,0.87109375,925.39453,283.79468,0.5698242,908.40845,288.39648,0.7661133,929.5332,303.01953,0.8354492
103,887.9453,297.4453,0.6586914,971.5498,305.4375,0.4194336,929.4258,322.18262,0.89208984,925.1211,283.94574,0.5683594,907.0259,287.2246,0.74316406,928.9629,303.0332,0.83740234
104,887.79297,297.4375,0.65185547,971.2412,305.4375,0.4230957,929.3262,322.18262,0.90527344,925.03516,283.97693,0.578125,906.9746,287.0371,0.7524414,928.3926,303.0332,0.8388672
105,887.6133,297.41797,0.6484375,970.8926,305.4375,0.421875,929.1465,322.22754,0.8886719,924.9492,284.146,0.56640625,906.874,287.01172,0.75683594,928.2363,303.11133,0.82666016
106,887.5664,297.41797,0.6430664,970.47363,305.16992,0.40356445,929.1465,322.26562,0.8774414,924.9492,284.386,0.5620117,906.8037,286.97266,0.75878906,928.09766,303.42383,0.80859375
